seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	860270	860419	150	*	X00004	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	895441	895898	458	*	X00026	26155	879583	894679	15097	-	761	upstream	761	NOC2L
chr1	895441	895898	458	*	X00026	339451	895967	901099	5133	+	68	upstream	68	KLHL17
chr1	936696	936994	299	*	X00035	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	1182277	1182531	255	*	X00043	388581	1177826	1182102	4277	-	174	upstream	174	C1QTNF12
chr1	1535721	1535729	9	*	X00046	643988	1533388	1535476	2089	-	244	upstream	244	FNDC10
chr1	1566378	1566452	75	*	X00047	8510	1567560	1570030	2471	+	1107	upstream	1107	MMP23B
chr1	1566532	1567026	495	*	X00048	8510	1567560	1570030	2471	+	533	upstream	533	MMP23B
chr1	1567192	1567491	300	*	X00049	8510	1567560	1570030	2471	+	68	upstream	68	MMP23B
chr1	2462483	2462542	60	*	X00054	388585	2460184	2461684	1501	-	798	upstream	798	HES5
chr1	2462663	2462797	135	*	X00055	388585	2460184	2461684	1501	-	978	upstream	978	HES5
chr1	2985212	2985263	52	*	X00063	440556	2976181	2984289	8109	-	922	upstream	922	PRDM16-DT
chr1	2985212	2985263	52	*	X00063	63976	2985742	3355185	369444	+	478	upstream	478	PRDM16
chr1	2985651	2985653	3	*	X00064	440556	2976181	2984289	8109	-	1361	upstream	1361	PRDM16-DT
chr1	2985651	2985653	3	*	X00064	63976	2985742	3355185	369444	+	88	upstream	88	PRDM16
chr1	3567435	3567509	75	*	X00073	49856	3547331	3566671	19341	-	763	upstream	763	WRAP73
chr1	3567435	3567509	75	*	X00073	7161	3569129	3652765	83637	+	1619	upstream	1619	TP73
chr1	4713369	4713638	270	*	X00075	55966	4715105	4843851	128747	+	1466	upstream	1466	AJAP1
chr1	4714134	4714238	105	*	X00076	55966	4715105	4843851	128747	+	866	upstream	866	AJAP1
chr1	4714608	4714686	79	*	X00077	55966	4715105	4843851	128747	+	418	upstream	418	AJAP1
chr1	6051809	6051812	4	*	X00079	8514	6052358	6161253	108896	+	545	upstream	545	KCNAB2
chr1	6054159	6054263	105	*	X00080	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6240879	6240968	90	*	X00086	26038	6161847	6240194	78348	-	684	upstream	684	CHD5
chr1	6241689	6241723	35	*	X00087	26038	6161847	6240194	78348	-	1494	upstream	1494	CHD5
chr1	6302865	6302924	60	*	X00095	390992	6304252	6305638	1387	+	1327	upstream	1327	HES3
chr1	6303929	6304198	270	*	X00096	390992	6304252	6305638	1387	+	53	upstream	53	HES3
chr1	6304319	6304408	90	*	X00097	390992	6304252	6305638	1387	+	0	inside	66	HES3
chr1	6304499	6304618	120	*	X00098	390992	6304252	6305638	1387	+	0	inside	246	HES3
chr1	6321673	6321942	270	*	X00103	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6483818	6483982	165	*	X00107	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00108	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	6484748	6484852	105	*	X00109	54626	6472498	6484730	12233	-	17	upstream	17	HES2
chr1	6484748	6484852	105	*	X00109	83715	6484848	6521004	36157	+	0	overlapStart	0	ESPN
chr1	9884352	9884375	24	*	X00136	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	10056431	10056550	120	*	X00137	116362	10057255	10076078	18824	+	704	upstream	704	RBP7
chr1	10057136	10057270	135	*	X00138	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057511	10057645	135	*	X00139	116362	10057255	10076078	18824	+	0	inside	255	RBP7
chr1	11537476	11537610	135	*	X00153	57540	11539295	11597640	58346	+	1684	upstream	1684	DISP3
chr1	11538118	11538222	105	*	X00154	57540	11539295	11597640	58346	+	1072	upstream	1072	DISP3
chr1	13840202	13840476	275	*	X00161	126755	13801445	13840242	38798	-	0	overlapStart	0	LRRC38
chr1	16400313	16400402	90	*	X00173	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	17767158	17767277	120	*	X00180	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18432613	18432665	53	*	X00181	84966	18434240	18704977	270738	+	1574	upstream	1574	IGSF21
chr1	18956098	18956262	165	*	X00185	5081	18957500	19075360	117861	+	1237	upstream	1237	PAX7
chr1	18956988	18957028	41	*	X00186	5081	18957500	19075360	117861	+	471	upstream	471	PAX7
chr1	18957213	18957332	120	*	X00187	5081	18957500	19075360	117861	+	167	upstream	167	PAX7
chr1	19283807	19283896	90	*	X00211	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19614837	19615046	210	*	X00212	22977	19609057	19615280	6224	-	0	inside	233	AKR7A3
chr1	19991169	19991258	90	*	X00214	3362	19991780	20006055	14276	+	521	upstream	521	HTR6
chr1	19991638	19992102	465	*	X00215	3362	19991780	20006055	14276	+	0	overlapStart	0	HTR6
chr1	20878336	20878485	150	*	X00230	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	20879086	20879153	68	*	X00231	163933	20878932	20881513	2582	+	0	inside	153	FAM43B
chr1	21060438	21060527	90	*	X00238	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	21995313	21995600	288	*	X00244	5909	21922708	21995856	73149	-	0	inside	255	RAP1GAP
chr1	23671711	23671815	105	*	X00250	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X00251	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X00254	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23751209	23751213	5	*	X00267	6920	23707555	23751261	43707	-	0	inside	47	TCEA3
chr1	23752778	23752942	165	*	X00268	6920	23707555	23751261	43707	-	1516	upstream	1516	TCEA3
chr1	23886851	23886868	18	*	X00273	3399	23884421	23886285	1865	-	565	upstream	565	ID3
chr1	24882774	24882953	180	*	X00278	400746	24882567	24935818	53252	+	0	inside	206	NCMAP
chr1	26373099	26373233	135	*	X00295	7780	26364514	26372604	8091	-	494	upstream	494	SLC30A2
chr1	27961723	27961857	135	*	X00311	2268	27938801	27961727	22927	-	0	overlapStart	0	FGR
chr1	29137159	29137241	83	*	X00312	4985	29138654	29190208	51555	+	1412	upstream	1412	OPRD1
chr1	29138472	29138621	150	*	X00313	4985	29138654	29190208	51555	+	32	upstream	32	OPRD1
chr1	29450261	29450387	127	*	X00316	399474	29445937	29450421	4485	-	0	inside	33	TMEM200B
chr1	29450544	29450656	113	*	X00317	399474	29445937	29450421	4485	-	122	upstream	122	TMEM200B
chr1	32083144	32083263	120	*	X00323	3061	32083301	32098119	14819	+	37	upstream	37	HCRTR1
chr1	32228679	32229455	777	*	X00326	576	32192718	32229648	36931	-	0	inside	192	ADGRB2
chr1	32802734	32802838	105	*	X00329	65108	32799430	32801840	2411	-	893	upstream	893	MARCKSL1
chr1	32827280	32827444	165	*	X00332	81629	32827862	32829924	2063	+	417	upstream	417	TSSK3
chr1	33168449	33168568	120	*	X00334	81493	33145507	33168361	22855	-	87	upstream	87	SYNC
chr1	33168644	33168748	105	*	X00335	81493	33145507	33168361	22855	-	282	upstream	282	SYNC
chr1	33168824	33168973	150	*	X00336	81493	33145507	33168361	22855	-	462	upstream	462	SYNC
chr1	33337831	33337965	135	*	X00339	252995	33327869	33338082	10214	-	0	inside	116	FNDC5
chr1	33338071	33338114	44	*	X00340	252995	33327869	33338082	10214	-	0	overlapStart	0	FNDC5
chr1	33351379	33351648	270	*	X00341	3208	33352098	33360247	8150	+	449	upstream	449	HPCA
chr1	33351709	33351768	60	*	X00342	3208	33352098	33360247	8150	+	329	upstream	329	HPCA
chr1	33351904	33351925	22	*	X00343	3208	33352098	33360247	8150	+	172	upstream	172	HPCA
chr1	33366779	33366891	113	*	X00344	113452	33360196	33366953	6758	-	0	inside	61	TMEM54
chr1	33367649	33367738	90	*	X00345	113452	33360196	33366953	6758	-	695	upstream	695	TMEM54
chr1	35246671	35246880	210	*	X00358	2707	35246790	35251967	5178	+	0	overlapStart	0	GJB3
chr1	36038004	36038123	120	*	X00364	339488	36038971	36060927	21957	+	847	upstream	847	TFAP2E
chr1	36038671	36038805	135	*	X00365	339488	36038971	36060927	21957	+	165	upstream	165	TFAP2E
chr1	36620117	36620206	90	*	X00370	55700	36621803	36646441	24639	+	1596	upstream	1596	MAP7D1
chr1	36620717	36620857	141	*	X00371	55700	36621803	36646441	24639	+	945	upstream	945	MAP7D1
chr1	36621038	36621137	100	*	X00372	55700	36621803	36646441	24639	+	665	upstream	665	MAP7D1
chr1	36931529	36931648	120	*	X00376	64960	36921362	36930040	8679	-	1488	upstream	1488	MRPS15
chr1	36931709	36931783	75	*	X00377	64960	36921362	36930040	8679	-	1668	upstream	1668	MRPS15
chr1	37500071	37500190	120	*	X00384	2899	37261128	37499844	238717	-	226	upstream	226	GRIK3
chr1	37500281	37500400	120	*	X00385	2899	37261128	37499844	238717	-	436	upstream	436	GRIK3
chr1	38231237	38231356	120	*	X00400	284656	38179553	38230824	51272	-	412	upstream	412	EPHA10
chr1	38231567	38231656	90	*	X00401	284656	38179553	38230824	51272	-	742	upstream	742	EPHA10
chr1	38259303	38259332	30	*	X00403	149175	38259774	38267278	7505	+	441	upstream	441	MANEAL
chr1	39955392	39955526	135	*	X00420	353500	39957318	39995541	38224	+	1791	upstream	1791	BMP8A
chr1	40105083	40105139	57	*	X00426	26508	40089103	40105348	16246	-	0	inside	208	HEYL
chr1	40138763	40138882	120	*	X00432	84618	40124793	40137710	12918	-	1052	upstream	1052	NT5C1A
chr1	40156883	40156933	51	*	X00438	51440	40144645	40157089	12445	-	0	inside	155	HPCAL4
chr1	40157442	40157561	120	*	X00439	51440	40144645	40157089	12445	-	352	upstream	352	HPCAL4
chr1	40157682	40157921	240	*	X00440	51440	40144645	40157089	12445	-	592	upstream	592	HPCAL4
chr1	40158278	40158412	135	*	X00441	51440	40144645	40157089	12445	-	1188	upstream	1188	HPCAL4
chr1	40237150	40237224	75	*	X00445	64064	40235197	40237020	1824	-	129	upstream	129	OXCT2
chr1	40237360	40237569	210	*	X00446	64064	40235197	40237020	1824	-	339	upstream	339	OXCT2
chr1	40254298	40254371	74	*	X00450	656	40223903	40254533	30631	-	0	inside	161	BMP8B
chr1	40254672	40254776	105	*	X00451	656	40223903	40254533	30631	-	138	upstream	138	BMP8B
chr1	40255632	40255766	135	*	X00452	656	40223903	40254533	30631	-	1098	upstream	1098	BMP8B
chr1	40782932	40783111	180	*	X00460	1298	40766163	40783060	16898	-	0	overlapStart	0	COL9A2
chr1	40783172	40783246	75	*	X00461	1298	40766163	40783060	16898	-	111	upstream	111	COL9A2
chr1	40783262	40783366	105	*	X00462	1298	40766163	40783060	16898	-	201	upstream	201	COL9A2
chr1	40783412	40783531	120	*	X00463	1298	40766163	40783060	16898	-	351	upstream	351	COL9A2
chr1	40783742	40783831	90	*	X00464	1298	40766163	40783060	16898	-	681	upstream	681	COL9A2
chr1	40784642	40784791	150	*	X00465	1298	40766163	40783060	16898	-	1581	upstream	1581	COL9A2
chr1	41248186	41248305	120	*	X00467	9132	41249684	41306124	56441	+	1378	upstream	1378	KCNQ4
chr1	41248951	41249100	150	*	X00468	9132	41249684	41306124	56441	+	583	upstream	583	KCNQ4
chr1	46859675	46859794	120	*	X00483	2166	46859939	46879520	19582	+	144	upstream	144	FAAH
chr1	47083384	47083462	79	*	X00513	148932	47073387	47082563	9177	-	820	upstream	820	MOB3C
chr1	47083384	47083462	79	*	X00513	8569	47023079	47082563	59485	-	820	upstream	820	MKNK1
chr1	47697612	47697733	122	*	X00525	6886	47681963	47697892	15930	-	0	inside	158	TAL1
chr1	47697852	47697888	37	*	X00526	6886	47681963	47697892	15930	-	0	inside	3	TAL1
chr1	47697967	47697971	5	*	X00527	6886	47681963	47697892	15930	-	74	upstream	74	TAL1
chr1	47698362	47698481	120	*	X00528	6886	47681963	47697892	15930	-	469	upstream	469	TAL1
chr1	47881294	47881428	135	*	X00532	2301	47881744	47883724	1981	+	315	upstream	315	FOXE3
chr1	47881579	47881998	420	*	X00533	2301	47881744	47883724	1981	+	0	overlapStart	0	FOXE3
chr1	50889623	50889709	87	*	X00565	63950	50883223	50889119	5897	-	503	upstream	503	DMRTA2
chr1	50889545	50889578	34	*	X00566	63950	50883223	50889119	5897	-	425	upstream	425	DMRTA2
chr1	50889835	50889954	120	*	X00567	63950	50883223	50889119	5897	-	715	upstream	715	DMRTA2
chr1	51433389	51433493	105	*	X00570	1031	51433608	51440309	6702	+	114	upstream	114	CDKN2C
chr1	53067938	53068042	105	*	X00578	2882	53068043	53074723	6681	+	0	upstream	0	GPX7
chr1	53098863	53098900	38	*	X00580	348378	53099066	53135339	36274	+	165	upstream	165	SHISAL2A
chr1	53098952	53098952	1	*	X00581	348378	53099066	53135339	36274	+	113	upstream	113	SHISAL2A
chr1	53099283	53099672	390	*	X00582	348378	53099066	53135339	36274	+	0	inside	216	SHISAL2A
chr1	53308239	53308354	116	*	X00584	440590	53308183	53360247	52065	+	0	inside	55	ZYG11A
chr1	53392821	53392940	120	*	X00587	55268	53361582	53392851	31270	-	0	overlapStart	0	ECHDC2
chr1	53392821	53392940	120	*	X00587	6342	53392901	53517289	124389	+	0	overlapStart	0	SCP2
chr1	53527274	53527393	120	*	X00588	127435	53527724	53551174	23451	+	330	upstream	330	PODN
chr1	53527709	53527721	13	*	X00589	127435	53527724	53551174	23451	+	2	upstream	2	PODN
chr1	55463783	55463962	180	*	X00605	7809	55464617	55474465	9849	+	654	upstream	654	BSND
chr1	55503694	55503768	75	*	X00608	255738	55505149	55530526	25378	+	1380	upstream	1380	PCSK9
chr1	57109824	57110003	180	*	X00611	5563	57110990	57181008	70019	+	986	upstream	986	PRKAA2
chr1	57110425	57110593	169	*	X00612	5563	57110990	57181008	70019	+	396	upstream	396	PRKAA2
chr1	59043211	59043330	120	*	X00617	4070	59041095	59043166	2072	-	44	upstream	44	TACSTD2
chr1	60392034	60392138	105	*	X00621	1573	60358980	60392423	33444	-	0	inside	284	CYP2J2
chr1	63784126	63784395	270	*	X00635	199899	63624754	63782901	158148	-	1224	upstream	1224	LINC00466
chr1	63784598	63784747	150	*	X00636	199899	63624754	63782901	158148	-	1696	upstream	1696	LINC00466
chr1	63788528	63788617	90	*	X00637	27022	63788730	63790797	2068	+	112	upstream	112	FOXD3
chr1	65612582	65612701	120	*	X00640	205	65613232	65697828	84597	+	530	upstream	530	AK4
chr1	65613167	65613376	210	*	X00641	205	65613232	65697828	84597	+	0	overlapStart	0	AK4
chr1	66258117	66258176	60	*	X00648	5142	66258193	66840262	582070	+	16	upstream	16	PDE4B
chr1	66999023	66999054	32	*	X00649	84251	66999825	67210768	210944	+	770	upstream	770	SGIP1
chr1	67772350	67772469	120	*	X00650	3595	67773047	67862583	89537	+	577	upstream	577	IL12RB2
chr1	68299209	68299231	23	*	X00652	55970	68167149	68299155	132007	-	53	upstream	53	GNG12
chr1	68698504	68698622	119	*	X00657	79971	68564142	68698284	134143	-	219	upstream	219	WLS
chr1	68699273	68699362	90	*	X00658	79971	68564142	68698284	134143	-	988	upstream	988	WLS
chr1	68700138	68700257	120	*	X00659	79971	68564142	68698284	134143	-	1853	upstream	1853	WLS
chr1	78511553	78511717	165	*	X00675	54810	78511589	78603112	91524	+	0	overlapStart	0	GIPC2
chr1	78955369	78955488	120	*	X00677	5737	78956728	79006386	49659	+	1239	upstream	1239	PTGFR
chr1	85358883	85358969	87	*	X00681	23566	85279086	85358896	79811	-	0	overlapStart	0	LPAR3
chr1	85514280	85514399	120	*	X00684	55283	85483765	85514223	30459	-	56	upstream	56	MCOLN3
chr1	85515935	85515999	65	*	X00685	55283	85483765	85514223	30459	-	1711	upstream	1711	MCOLN3
chr1	86043819	86043968	150	*	X00689	23576	85784168	86044046	259879	-	0	inside	77	DDAH1
chr1	86044449	86044553	105	*	X00690	23576	85784168	86044046	259879	-	402	upstream	402	DDAH1
chr1	86044449	86044553	105	*	X00690	3491	86046444	86049648	3205	+	1890	upstream	1890	CCN1
chr1	86044614	86044733	120	*	X00691	23576	85784168	86044046	259879	-	567	upstream	567	DDAH1
chr1	86044614	86044733	120	*	X00691	3491	86046444	86049648	3205	+	1710	upstream	1710	CCN1
chr1	86622213	86622422	210	*	X00694	255631	86194916	86622446	427531	-	0	inside	23	COL24A1
chr1	86622453	86622562	110	*	X00695	255631	86194916	86622446	427531	-	6	upstream	6	COL24A1
chr1	90099578	90099652	75	*	X00698	400761	90090408	90098453	8046	-	1124	upstream	1124	LRRC8C-DT
chr1	98386302	98386406	105	*	X00724	1806	97543300	98386615	843316	-	0	inside	208	DPYD
chr1	98511287	98511352	66	*	X00726	100616452	98510799	98510907	109	-	379	upstream	379	MIR2682
chr1	98511429	98511481	53	*	X00727	100616452	98510799	98510907	109	-	521	upstream	521	MIR2682
chr1	98516105	98516224	120	*	X00729	400765	98453556	98515249	61694	-	855	upstream	855	MIR137HG
chr1	98516282	98516371	90	*	X00730	400765	98453556	98515249	61694	-	1032	upstream	1032	MIR137HG
chr1	99469815	99469844	30	*	X00734	100129620	99469832	99614408	144577	+	0	overlapStart	0	LOC100129620
chr1	99470704	99470808	105	*	X00735	163404	99355801	99470449	114649	-	254	upstream	254	PLPPR5
chr1	99729812	99729901	90	*	X00736	9890	99729848	99775138	45291	+	0	overlapStart	0	PLPPR4
chr1	99730042	99730156	115	*	X00737	9890	99729848	99775138	45291	+	0	inside	193	PLPPR4
chr1	99729947	99729988	42	*	X00738	9890	99729848	99775138	45291	+	0	inside	98	PLPPR4
chr1	110284062	110284196	135	*	X00750	2947	110276554	110283660	7107	-	401	upstream	401	GSTM3
chr1	110453174	110453398	225	*	X00751	1435	110453233	110473616	20384	+	0	overlapStart	0	CSF1
chr1	110692141	110692235	95	*	X00764	388662	110693132	110744823	51692	+	896	upstream	896	SLC6A17
chr1	110692305	110692365	61	*	X00765	388662	110693132	110744823	51692	+	766	upstream	766	SLC6A17
chr1	110692891	110693025	135	*	X00766	388662	110693132	110744823	51692	+	106	upstream	106	SLC6A17
chr1	110753464	110753465	2	*	X00769	3749	110753336	110776674	23339	+	0	inside	127	KCNC4
chr1	111746369	111746870	502	*	X00775	79961	111728591	111747160	18570	-	0	inside	289	DENND2D
chr1	112532257	112532296	40	*	X00777	3752	112318454	112531777	213324	-	479	upstream	479	KCND3
chr1	112532257	112532296	40	*	X00777	643355	112533190	112541463	8274	+	893	upstream	893	LINC01750
chr1	112532993	112533187	195	*	X00778	3752	112318454	112531777	213324	-	1215	upstream	1215	KCND3
chr1	112532993	112533187	195	*	X00778	643355	112533190	112541463	8274	+	2	upstream	2	LINC01750
